"sample_flow_rate"	"sample_volume"	"record_sample_volume"	"mixing_volume"	"mixing_speed"	"number_mixes"	"wash_volume"	"tube.name"	"plate.num"	"samp_id"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C5"	"Plate_003"	"170705-Plate_003.C5"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C6"	"Plate_003"	"170705-Plate_003.C6"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C7"	"Plate_003"	"170705-Plate_003.C7"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C8"	"Plate_003"	"170705-Plate_003.C8"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C9"	"Plate_003"	"170705-Plate_003.C9"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C10"	"Plate_003"	"170705-Plate_003.C10"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C11"	"Plate_003"	"170705-Plate_003.C11"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C12"	"Plate_003"	"170705-Plate_003.C12"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"D1"	"Plate_003"	"170705-Plate_003.D1"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"D2"	"Plate_003"	"170705-Plate_003.D2"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"D3"	"Plate_003"	"170705-Plate_003.D3"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"D4"	"Plate_003"	"170705-Plate_003.D4"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"D5"	"Plate_003"	"170705-Plate_003.D5"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"D6"	"Plate_003"	"170705-Plate_003.D6"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"D7"	"Plate_003"	"170705-Plate_003.D7"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"D8"	"Plate_003"	"170705-Plate_003.D8"
